"id","name","name_short","starts_at_lt","ends_at_lt"
a1188aca-c28a-425a-820e-5467b22c78fc,Технологическая (проектно-технологическая) практика (ландшафтное проектирование),ТПЛП,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
bd903724-c5da-4cb8-919a-59e0fe60bd33,Технологическая (проектно-технологическая) практика (по технологии печатной графики),ТППГ,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
"48e9cb67-bf34-42c2-bca5-bdebc9cde27c",Технологическая (проектно-технологическая) практика (по технологии создания изделий декоративно-прикладного искусства),Т (ПТ)П(ПТСИДПИ),2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
"2c3c1a47-b0e9-46b9-b386-845b5a0c2b83",Технологическая (проектно-технологическая) практика Учебная 2 семестр по учению о сферах Земли (Зачёт) ,ТПТП У(Зачёт 2 сем),2022-02-14 00:00:00.000,2022-08-01 00:00:00.000
"4c500c48-da2c-4a7e-b19b-10c35d5ddc61",Технологическая (проектно-технологическая) практика (Учебная. Учение об атмосфере) ,ТПТП (УУч об Ат),2022-02-14 00:00:00.000,2022-08-01 00:00:00.000
e701f94c-ac9b-46c0-9a4f-99e400c775f5,Технологическая (проектно-технологическая) практика Цифровая картография ,ТехПТП ЦК,2022-02-14 00:00:00.000,2022-08-01 00:00:00.000
"28a873d1-1ab0-4616-9d2f-1f0c42e9ad8e",Технологические особенности и экологические последствия освоения месторождений нефти и газа,ТЕхнОсниЭПосвНГ,2022-02-07 00:00:00.000,2022-08-01 00:00:00.000
"447dacd9-ea79-4f38-9ad2-ed238ea38e8d",Технологические процессы в сервисе,ТПВС,2021-09-01 00:00:00.000,2022-02-07 00:00:00.000
b89f15e2-83bb-46b4-b341-ef5637608175,Технологическое предпринимательство,ТП,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
b9019595-462f-413a-ae8f-87fe5619cbdd,Технология добычи,ТД,2021-12-06 00:00:00.000,2022-03-28 00:00:00.000
"0c77311c-1eb8-4fa8-bde4-eea7a32bd190",Технология личной эффективности,ТЛЭ,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
eb11c229-a0ac-4a78-bc7c-1a4cf4ece3e9,Технология личной эффективности,ТЛЭ,2021-09-01 00:00:00.000,2022-02-06 00:00:00.000
"04f04853-3d41-4ff8-a81f-34c8ca4a4890",Технология личной эффективности,ТЛЭ,2022-02-14 00:00:00.000,2022-09-01 00:00:00.000
"3a02b91a-74d8-4b34-85e1-b1f27d103d8d",Технология материалов,ТМ,2022-01-31 00:00:00.000,2022-07-11 00:00:00.000
"81a2e6c2-5364-4f50-bf7e-561640ab5d01",Технология организации гостиничных услуг,ТОГУ,2022-02-14 00:00:00.000,2022-08-08 00:00:00.000
"98653acb-e414-4b24-a5a0-ef4702a0de39",Технология организации гостиничных услуг,ТОГУ,2022-02-07 00:00:00.000,2022-07-25 00:00:00.000
"7068a701-5cf7-4cda-97c8-1981f00be7ab",Технология подготовки нефти и газа,ТПНИГ,2021-12-06 00:00:00.000,2022-03-28 00:00:00.000
f62425da-91fc-4fed-bcc6-0c5bbf7f15d0,Технология разработки сервисных услуг,ТРСУ,2022-02-14 00:00:00.000,2022-07-25 00:00:00.000
"187da5ae-4780-47fb-ad46-0d509f4dc79f",Технология разработки учебно-методического обеспечения образовательного процесса по математике,ТРУМООбрПр,2022-02-14 00:00:00.000,2022-07-11 00:00:00.000
