"id","name","starts_at_lt","ends_at_lt"
"81253102-3c63-409d-9e85-d323755312f5","ASP 38.06.01 Экономика: финансы, денежное обращение и кредит ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"67e03bea-7c27-4fc3-9f1d-e54e1069fb4e","ASP 38.06.01 Экономика: финансы, денежное обращение и кредит ОФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
bd0d7431-6002-47c1-97c7-232f39046cc6,"ASP 39.06.01 Социологические науки: социальная структура, социальные институты и процессы ОФО (3 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"89d9d601-f55b-481d-8fd1-0ddb37fd354a","ASP 39.06.01 Социологические науки: социальная структура, социальные институты и процессы ОФО (4 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
ca9f45e4-90d4-49b3-a59a-b940322fad88,"ASP 39.06.01 Социологические науки: социальная структура, социальные институты и процессы ОФО (5 семестр)",2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"33e98490-e098-4bf9-8c86-fd638827fff4",ASP 39.06.01 Социологические науки: экономическая социология и демография ОФО (1 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
feaae008-ba43-4dd5-9969-20a2bf8ad3b6,ASP 39.06.01 Социологические науки: экономическая социология и демография ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"12963499-421c-4f91-b74b-7fcd738b8214",ASP 39.06.01 Социологические науки: экономическая социология и демография ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"7819e040-f6a8-42f8-9429-04ca49847cb1",ASP 39.06.01 Социологические науки: экономическая социология и демография ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"46f53dbe-4f04-407c-b227-b8af4af12455",ASP 40.06.01 Юриспруденция: административное право; административный процесс ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
dbbb12c6-b8db-4617-a2fa-0c54caf12373,ASP 40.06.01 Юриспруденция: гражданское право; предпринимательское право; семейное право; международное частное право ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
b67f9be4-6954-4aa3-8777-cc63213dd082,ASP 40.06.01 Юриспруденция: гражданское право; предпринимательское право; семейное право; международное частное право ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
e3654b51-ea03-4bac-ac98-a3c1b6cc367a,ASP 40.06.01 Юриспруденция: гражданское право; предпринимательское право; семейное право; международное частное право ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"362460d4-ad88-41e2-9fe9-e929b3187a9d",ASP 40.06.01 Юриспруденция: конституционное право; конституционный судебный процесс; муниципальное право ОФО (3 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
a14b50ea-f5fb-4fb4-ab18-b55ba18c864d,ASP 40.06.01 Юриспруденция: конституционное право; конституционный судебный процесс; муниципальное право ОФО (4 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"4bfd1b04-27b2-40c9-acd7-895d00f9ae20",ASP 40.06.01 Юриспруденция: конституционное право; конституционный судебный процесс; муниципальное право ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
"1d0fd9fc-e236-45e0-b85d-12e095a53e23",ASP 40.06.01 Юриспруденция: криминалистика; судебно-экспертная деятельность; оперативно-розыскная деятельность ОФО (5 семестр),2021-09-01 00:00:00.000,2022-09-01 00:00:00.000
